Message,Category,contains_phone_number,contains_URL_link,Keywords,Special_Characters,Amount,Length,SMS_Number,word_count,label_numeric
"💵🤑 हैलो दोस्तों, जैसा कि आपको पता है, मैं ग्रुप में डेली स्क्रीनशॉट डालता हूँ पैसे डबल करने के और सभी की मदद करता हूँ ❤️❤️❤️❤️

🤑 दोस्तों, अगर आपको भी Dream 11 में पैसा हार गया है या आपको किसी इमरजेंसी में पैसे की जरूरत है, तो मैं आपकी मदद कर सकता हूँ 💰💰💰💵💵💵

🤑 मैं आपका पैसा डबल कर सकता हूँ, केवल 5 मिनट लगेंगे और तुरंत आपको पेमेंट मिल जाएगा, और बड़ा प्रॉफिट होगा 💵💵💵🥰💵🥰🥰🥰

🤑 हमारे ग्रुप के सभी सदस्य अपना अमाउंट डबल करवा रहे हैं और बड़ा प्रॉफिट जीत रहे हैं 💥💥💥✅✅💵

ऑफर्स। ऑफर्स। ऑफर्स ✅
⭐️⭐️⭐️⭐️⭐️💷💶",spam,0,0,1,1,0,501,0,102,0
"आपका ईमेल सफलतापूर्वक अपडेट हुआ है । प्रिय ग्राहक, आपका ईमेल पता सफलतापूर्वक अपडेट हो गया है। धन्यवाद।",ham,0,0,0,1,0,102,0,18,1
"भाई, weekend पे कहीं जाना है तो बोल, हम तो ready बैठे हैं, बस तुम बोलो",ham,0,0,0,1,0,70,0,16,1
आपका काम कैसा चल रहा है?,ham,0,0,0,1,0,24,0,6,1
"आपका सदस्यता नवीकरण का समय । प्रिय ग्राहक, आपकी सदस्यता का नवीकरण का समय आ गया है। कृपया इसे समय पर नवीकरण करें।",ham,0,0,0,1,0,112,0,23,1
पहले तुम्हारी मदद के लिए दिल से धन्यवाद! बहुत आभार!,ham,0,0,0,1,0,51,0,10,1
"विशेष अवसर!
कॅपिटल एफएम एक भाग्यशाली सदस्य को क्रूज यात्रा + ₹20,000 का इनाम दे रहा है! भाग लेने के लिए किसी खरीदारी की आवश्यकता नहीं है! महीने के अंत से पहले शामिल हों और इस अद्भुत अवसर का लाभ उठाएं!
जुड़ें:
http://www.capitalfm.com (कैसिनो)
http://www.bettingzone.com (स्पोर्ट्सबुक)

अनन्य ऑफर्स:

क्रूज यात्रा और ₹20,000 जीतने का मौका!
10% साइन-अप बोनस!
मुफ्त कैसीनो सॉफ्टवेयर!
25 कैसीनो गेम्स!
अंतर्राष्ट्रीय स्पोर्ट्सबुक!
घुड़दौड़ पर सट्टेबाजी!
हमारा कैसीनो सुरक्षित और ऑडिटेड है।
आपका समर्थन हमारे लिए महत्वपूर्ण है। धन्यवाद!""",spam,0,1,1,1,0,532,0,82,0
महत्वपूर्ण सूचना - आपके लिए बम्पर पुरस्कार है। । ९६८३२५४५५५ पर संपर्क करें।,spam,0,0,1,0,0,75,0,13,0
कल मेरी 9 बजे एक कक्षा है।,ham,0,0,0,0,0,26,0,7,1
"मैं वापस आ गया हूँ, जब तुम तैयार हो तो बता देना",ham,0,0,0,1,0,47,0,12,1
